dsid,cdid,topic
pnbp,flyl,/economy/nationalaccounts/balanceofpayments
pnbp,flys,/economy/nationalaccounts/balanceofpayments
pnbp,fngy,/economy/nationalaccounts/balanceofpayments
pnbp,fnjm,/economy/nationalaccounts/balanceofpayments
pnbp,fnkf,/economy/nationalaccounts/balanceofpayments
pnbp,fnlq,/economy/nationalaccounts/balanceofpayments
pnbp,fnly,/economy/nationalaccounts/balanceofpayments
pnbp,fnmr,/economy/nationalaccounts/balanceofpayments
pnbp,fnmz,/economy/nationalaccounts/balanceofpayments
pnbp,fnrb,/economy/nationalaccounts/balanceofpayments
pnbp,fnru,/economy/nationalaccounts/balanceofpayments
pnbp,fnsv,/economy/nationalaccounts/balanceofpayments
pnbp,fntc,/economy/nationalaccounts/balanceofpayments
pnbp,fntk,/economy/nationalaccounts/balanceofpayments
pnbp,fntl,/economy/nationalaccounts/balanceofpayments
pnbp,fntm,/economy/nationalaccounts/balanceofpayments
pnbp,fntn,/economy/nationalaccounts/balanceofpayments
pnbp,fnto,/economy/nationalaccounts/balanceofpayments
pnbp,fntq,/economy/nationalaccounts/balanceofpayments
pnbp,fntr,/economy/nationalaccounts/balanceofpayments
pnbp,fnts,/economy/nationalaccounts/balanceofpayments
pnbp,fnvq,/economy/nationalaccounts/balanceofpayments
pnbp,fus7,/economy/nationalaccounts/balanceofpayments
pnbp,fus8,/economy/nationalaccounts/balanceofpayments
pnbp,fus9,/economy/nationalaccounts/balanceofpayments
pnbp,fut2,/economy/nationalaccounts/balanceofpayments
pnbp,fut3,/economy/nationalaccounts/balanceofpayments
pnbp,fut4,/economy/nationalaccounts/balanceofpayments
pnbp,fut5,/economy/nationalaccounts/balanceofpayments
pnbp,fut6,/economy/nationalaccounts/balanceofpayments
pnbp,fut7,/economy/nationalaccounts/balanceofpayments
pnbp,fut8,/economy/nationalaccounts/balanceofpayments
pnbp,fut9,/economy/nationalaccounts/balanceofpayments
pnbp,fuu2,/economy/nationalaccounts/balanceofpayments
pnbp,fzja,/economy/nationalaccounts/balanceofpayments
pnbp,gtta,/economy/nationalaccounts/balanceofpayments
pnbp,gttb,/economy/nationalaccounts/balanceofpayments
pnbp,gttx,/economy/nationalaccounts/balanceofpayments
pnbp,gtty,/economy/nationalaccounts/balanceofpayments
pnbp,h5u3,/economy/nationalaccounts/balanceofpayments
pnbp,hbnr,/economy/nationalaccounts/balanceofpayments
pnbp,hbns,/economy/nationalaccounts/balanceofpayments
pnbp,hbnt,/economy/nationalaccounts/balanceofpayments
pnbp,hbog,/economy/nationalaccounts/balanceofpayments
pnbp,hboh,/economy/nationalaccounts/balanceofpayments
pnbp,hboi,/economy/nationalaccounts/balanceofpayments
pnbp,hboj,/economy/nationalaccounts/balanceofpayments
pnbp,hbok,/economy/nationalaccounts/balanceofpayments
pnbp,hbol,/economy/nationalaccounts/balanceofpayments
pnbp,hbom,/economy/nationalaccounts/balanceofpayments
pnbp,hbon,/economy/nationalaccounts/balanceofpayments
pnbp,hboo,/economy/nationalaccounts/balanceofpayments
pnbp,hbop,/economy/nationalaccounts/balanceofpayments
pnbp,hbqa,/economy/nationalaccounts/balanceofpayments
pnbp,hbqb,/economy/nationalaccounts/balanceofpayments
pnbp,hbqc,/economy/nationalaccounts/balanceofpayments
pnbp,hbsh,/economy/nationalaccounts/balanceofpayments
pnbp,hbuy,/economy/nationalaccounts/balanceofpayments
pnbp,hbvi,/economy/nationalaccounts/balanceofpayments
pnbp,hbwn,/economy/nationalaccounts/balanceofpayments
pnbp,hbwt,/economy/nationalaccounts/balanceofpayments
pnbp,hbwv,/economy/nationalaccounts/balanceofpayments
pnbp,hbwx,/economy/nationalaccounts/balanceofpayments
pnbp,hdny,/economy/nationalaccounts/balanceofpayments
pnbp,hepx,/economy/nationalaccounts/balanceofpayments
pnbp,hgot,/economy/nationalaccounts/balanceofpayments
pnbp,hhcb,/economy/nationalaccounts/balanceofpayments
pnbp,hhcc,/economy/nationalaccounts/balanceofpayments
pnbp,hhdh,/economy/nationalaccounts/balanceofpayments
pnbp,hhyr,/economy/nationalaccounts/balanceofpayments
pnbp,hhzc,/economy/nationalaccounts/balanceofpayments
pnbp,hhzd,/economy/nationalaccounts/balanceofpayments
pnbp,hhzf,/economy/nationalaccounts/balanceofpayments
pnbp,hhzx,/economy/nationalaccounts/balanceofpayments
pnbp,hhzz,/economy/nationalaccounts/balanceofpayments
pnbp,hjym,/economy/nationalaccounts/balanceofpayments
pnbp,hjyr,/economy/nationalaccounts/balanceofpayments
pnbp,hlxv,/economy/nationalaccounts/balanceofpayments
pnbp,hlxw,/economy/nationalaccounts/balanceofpayments
pnbp,hlxx,/economy/nationalaccounts/balanceofpayments
pnbp,hlxy,/economy/nationalaccounts/balanceofpayments
pnbp,hlyd,/economy/nationalaccounts/balanceofpayments
pnbp,hlyx,/economy/nationalaccounts/balanceofpayments
pnbp,hlzc,/economy/nationalaccounts/balanceofpayments
pnbp,hlzn,/economy/nationalaccounts/balanceofpayments
pnbp,hlzx,/economy/nationalaccounts/balanceofpayments
pnbp,hmbm,/economy/nationalaccounts/balanceofpayments
pnbp,hmbn,/economy/nationalaccounts/balanceofpayments
pnbp,hmbo,/economy/nationalaccounts/balanceofpayments
pnbp,hmbp,/economy/nationalaccounts/balanceofpayments
pnbp,hmly,/economy/nationalaccounts/balanceofpayments
pnbp,ijah,/economy/nationalaccounts/balanceofpayments
pnbp,ijai,/economy/nationalaccounts/balanceofpayments
pnbp,ijaj,/economy/nationalaccounts/balanceofpayments
pnbp,ikbb,/economy/nationalaccounts/balanceofpayments
pnbp,ikbc,/economy/nationalaccounts/balanceofpayments
pnbp,ikbd,/economy/nationalaccounts/balanceofpayments
pnbp,ikbh,/economy/nationalaccounts/balanceofpayments
pnbp,ikbi,/economy/nationalaccounts/balanceofpayments
pnbp,ikbj,/economy/nationalaccounts/balanceofpayments
pnbp,ikbn,/economy/nationalaccounts/balanceofpayments
pnbp,ikbo,/economy/nationalaccounts/balanceofpayments
pnbp,ikbp,/economy/nationalaccounts/balanceofpayments
pnbp,jcwm,/economy/nationalaccounts/balanceofpayments
pnbp,jx96,/economy/nationalaccounts/balanceofpayments
pnbp,jx97,/economy/nationalaccounts/balanceofpayments
pnbp,jx98,/economy/nationalaccounts/balanceofpayments
pnbp,ktmp,/economy/nationalaccounts/balanceofpayments
pnbp,ktms,/economy/nationalaccounts/balanceofpayments
pnbp,ktmy,/economy/nationalaccounts/balanceofpayments
pnbp,ktnf,/economy/nationalaccounts/balanceofpayments
pnbp,l84s,/economy/nationalaccounts/balanceofpayments
pnbp,l84t,/economy/nationalaccounts/balanceofpayments
pnbp,l84y,/economy/nationalaccounts/balanceofpayments
pnbp,l84z,/economy/nationalaccounts/balanceofpayments
pnbp,l854,/economy/nationalaccounts/balanceofpayments
pnbp,l855,/economy/nationalaccounts/balanceofpayments
pnbp,l85w,/economy/nationalaccounts/balanceofpayments
pnbp,l85x,/economy/nationalaccounts/balanceofpayments
pnbp,l864,/economy/nationalaccounts/balanceofpayments
pnbp,l865,/economy/nationalaccounts/balanceofpayments
pnbp,l868,/economy/nationalaccounts/balanceofpayments
pnbp,l869,/economy/nationalaccounts/balanceofpayments
pnbp,l86e,/economy/nationalaccounts/balanceofpayments
pnbp,l86f,/economy/nationalaccounts/balanceofpayments
pnbp,l86i,/economy/nationalaccounts/balanceofpayments
pnbp,l86j,/economy/nationalaccounts/balanceofpayments
pnbp,l86m,/economy/nationalaccounts/balanceofpayments
pnbp,l86n,/economy/nationalaccounts/balanceofpayments
pnbp,l872,/economy/nationalaccounts/balanceofpayments
pnbp,l873,/economy/nationalaccounts/balanceofpayments
pnbp,l874,/economy/nationalaccounts/balanceofpayments
pnbp,l875,/economy/nationalaccounts/balanceofpayments
pnbp,l876,/economy/nationalaccounts/balanceofpayments
pnbp,l877,/economy/nationalaccounts/balanceofpayments
pnbp,l87d,/economy/nationalaccounts/balanceofpayments
pnbp,l87e,/economy/nationalaccounts/balanceofpayments
pnbp,l87f,/economy/nationalaccounts/balanceofpayments
pnbp,l87g,/economy/nationalaccounts/balanceofpayments
pnbp,l87h,/economy/nationalaccounts/balanceofpayments
pnbp,l87i,/economy/nationalaccounts/balanceofpayments
pnbp,l87k,/economy/nationalaccounts/balanceofpayments
pnbp,l87m,/economy/nationalaccounts/balanceofpayments
pnbp,l87o,/economy/nationalaccounts/balanceofpayments
pnbp,l87q,/economy/nationalaccounts/balanceofpayments
pnbp,l87s,/economy/nationalaccounts/balanceofpayments
pnbp,l87u,/economy/nationalaccounts/balanceofpayments
pnbp,lqct,/economy/nationalaccounts/balanceofpayments
pnbp,ltcv,/economy/nationalaccounts/balanceofpayments
pnbp,lteb,/economy/nationalaccounts/balanceofpayments
pnbp,mt5t,/economy/nationalaccounts/balanceofpayments
pnbp,mt5v,/economy/nationalaccounts/balanceofpayments
pnbp,mt5w,/economy/nationalaccounts/balanceofpayments
pnbp,mt5x,/economy/nationalaccounts/balanceofpayments
pnbp,mtn6,/economy/nationalaccounts/balanceofpayments
pnbp,mtn7,/economy/nationalaccounts/balanceofpayments
pnbp,mtn8,/economy/nationalaccounts/balanceofpayments
pnbp,mtu7,/economy/nationalaccounts/balanceofpayments
pnbp,mtx2,/economy/nationalaccounts/balanceofpayments
pnbp,mu7e,/economy/nationalaccounts/balanceofpayments
pnbp,mu7f,/economy/nationalaccounts/balanceofpayments
pnbp,mu7l,/economy/nationalaccounts/balanceofpayments
pnbp,mu7m,/economy/nationalaccounts/balanceofpayments
pnbp,mu7n,/economy/nationalaccounts/balanceofpayments
pnbp,mu7o,/economy/nationalaccounts/balanceofpayments
pnbp,muv7,/economy/nationalaccounts/balanceofpayments
pnbp,muv8,/economy/nationalaccounts/balanceofpayments
pnbp,n2q4,/economy/nationalaccounts/balanceofpayments
pnbp,n2qp,/economy/nationalaccounts/balanceofpayments
pnbp,n2r7,/economy/nationalaccounts/balanceofpayments
pnbp,n2rn,/economy/nationalaccounts/balanceofpayments
pnbp,n2sa,/economy/nationalaccounts/balanceofpayments
pnbp,n2sv,/economy/nationalaccounts/balanceofpayments
pnbp,n2td,/economy/nationalaccounts/balanceofpayments
pnbp,n2tt,/economy/nationalaccounts/balanceofpayments
pnbp,n2ug,/economy/nationalaccounts/balanceofpayments
pnbp,n2v3,/economy/nationalaccounts/balanceofpayments
pnbp,xblw,/economy/nationalaccounts/balanceofpayments
pnbp,xblx,/economy/nationalaccounts/balanceofpayments
pnbp,xbmm,/economy/nationalaccounts/balanceofpayments
pnbp,xbmn,/economy/nationalaccounts/balanceofpayments
pnbp,xbmw,/economy/nationalaccounts/balanceofpayments
pnbp,zpnn,/economy/nationalaccounts/balanceofpayments
ukea,a29p,/economy/grossdomesticproductgdp
ukea,a4fk,/economy/grossdomesticproductgdp
ukea,a4vr,/economy/grossdomesticproductgdp
ukea,a4vs,/economy/grossdomesticproductgdp
ukea,a99r,/economy/grossdomesticproductgdp
ukea,aa6h,/economy/nationalaccounts/balanceofpayments
ukea,aa7t,/economy/grossdomesticproductgdp
ukea,aa7w,/economy/grossdomesticproductgdp
ukea,aaa3,/economy/grossdomesticproductgdp
ukea,aaa4,/economy/grossdomesticproductgdp
ukea,aarb,/economy/nationalaccounts/balanceofpayments
ukea,aasd,/economy/nationalaccounts/balanceofpayments
ukea,abjq,/economy/nationalaccounts/satelliteaccounts
ukea,abjr,/economy/nationalaccounts/satelliteaccounts
ukea,abkw,/economy/grossdomesticproductgdp
ukea,abky,/economy/grossdomesticproductgdp
ukea,abmd,/economy/grossdomesticproductgdp
ukea,abme,/economy/grossdomesticproductgdp
ukea,abmf,/economy/grossdomesticproductgdp
ukea,abmg,/economy/grossdomesticproductgdp
ukea,abmi,/economy/grossdomesticproductgdp
ukea,abml,/economy/grossvalueaddedgva
ukea,abmm,/economy/grossdomesticproductgdp
ukea,abmp,/economy/grossdomesticproductgdp
ukea,abmq,/economy/grossdomesticproductgdp
ukea,abmx,/economy/governmentpublicsectorandtaxes/publicspending
ukea,abmz,/economy/grossdomesticproductgdp
ukea,abnf,/economy/grossdomesticproductgdp
ukea,abng,/economy/grossdomesticproductgdp
ukea,abnu,/economy/grossdomesticproductgdp
ukea,abnv,/economy/grossdomesticproductgdp
ukea,abpb,/economy/nationalaccounts/satelliteaccounts
ukea,abpf,/economy/nationalaccounts/satelliteaccounts
ukea,abqi,/economy/nationalaccounts/satelliteaccounts
ukea,abqj,/economy/nationalaccounts/satelliteaccounts
ukea,abre,/economy/grossdomesticproductgdp
ukea,abrf,/economy/grossdomesticproductgdp
ukea,abte,/economy/nationalaccounts/satelliteaccounts
ukea,abtf,/economy/nationalaccounts/satelliteaccounts
ukea,abtg,/economy/nationalaccounts/satelliteaccounts
ukea,abth,/economy/nationalaccounts/satelliteaccounts
ukea,abv7,/economy/grossdomesticproductgdp
ukea,abv8,/economy/grossdomesticproductgdp
ukea,abzi,/economy/grossdomesticproductgdp
ukea,abzv,/economy/nationalaccounts/satelliteaccounts
ukea,acbb,/economy/grossdomesticproductgdp
ukea,acbd,/economy/grossdomesticproductgdp
ukea,acbe,/economy/grossdomesticproductgdp
ukea,acbf,/economy/grossdomesticproductgdp
ukea,acqj,/economy/nationalaccounts/balanceofpayments
ukea,adak,/economy/governmentpublicsectorandtaxes/publicsectorfinance
ukea,adal,/economy/grossdomesticproductgdp
ukea,adbf,/economy/grossdomesticproductgdp
ukea,adfl,/economy/nationalaccounts/satelliteaccounts
ukea,adfp,/economy/nationalaccounts/satelliteaccounts
ukea,adfs,/economy/nationalaccounts/satelliteaccounts
ukea,adfy,/economy/nationalaccounts/satelliteaccounts
ukea,adgp,/economy/nationalaccounts/satelliteaccounts
ukea,adgt,/economy/nationalaccounts/satelliteaccounts
ukea,adgx,/economy/nationalaccounts/satelliteaccounts
ukea,adgy,/economy/nationalaccounts/satelliteaccounts
ukea,adie,/economy/nationalaccounts/satelliteaccounts
ukea,adif,/economy/nationalaccounts/satelliteaccounts
ukea,adii,/economy/nationalaccounts/satelliteaccounts
ukea,adip,/economy/nationalaccounts/satelliteaccounts
ukea,adis,/economy/nationalaccounts/satelliteaccounts
ukea,adiv,/economy/grossdomesticproductgdp
ukea,adiw,/economy/nationalaccounts/satelliteaccounts
ukea,adiz,/economy/nationalaccounts/satelliteaccounts
ukea,adjf,/economy/nationalaccounts/satelliteaccounts
ukea,adjm,/economy/nationalaccounts/satelliteaccounts
ukea,adjq,/economy/nationalaccounts/satelliteaccounts
ukea,adju,/economy/nationalaccounts/satelliteaccounts
ukea,adjv,/economy/nationalaccounts/satelliteaccounts
ukea,admj,/economy/nationalaccounts/satelliteaccounts
ukea,admk,/economy/nationalaccounts/satelliteaccounts
ukea,admn,/economy/nationalaccounts/satelliteaccounts
ukea,admx,/economy/grossdomesticproductgdp
ukea,adsy,/economy/grossdomesticproductgdp
ukea,adti,/economy/grossdomesticproductgdp
ukea,ae7p,/economy/grossdomesticproductgdp
ukea,aibr,/economy/grossdomesticproductgdp
ukea,aing,/economy/nationalaccounts/balanceofpayments
ukea,aiop,/economy/nationalaccounts/balanceofpayments
ukea,apme,/economy/nationalaccounts/balanceofpayments
ukea,apqa,/economy/nationalaccounts/balanceofpayments
ukea,apql,/economy/nationalaccounts/balanceofpayments
ukea,aqbx,/economy/nationalaccounts/balanceofpayments
ukea,ardy,/economy/grossdomesticproductgdp
ukea,arfd,/economy/grossdomesticproductgdp
ukea,arfe,/economy/grossdomesticproductgdp
ukea,arff,/economy/grossdomesticproductgdp
ukea,arfg,/economy/grossdomesticproductgdp
ukea,arfh,/economy/grossdomesticproductgdp
ukea,arfi,/economy/grossdomesticproductgdp
ukea,arfj,/economy/grossdomesticproductgdp
ukea,arfk,/economy/grossdomesticproductgdp
ukea,arfl,/economy/grossdomesticproductgdp
ukea,arfm,/economy/grossdomesticproductgdp
ukea,arfn,/economy/grossdomesticproductgdp
ukea,arfo,/economy/grossdomesticproductgdp
ukea,arfp,/economy/grossdomesticproductgdp
ukea,arfq,/economy/grossdomesticproductgdp
ukea,arfr,/economy/grossdomesticproductgdp
ukea,arfs,/economy/grossdomesticproductgdp
ukea,arft,/economy/grossdomesticproductgdp
ukea,awto,/economy/grossdomesticproductgdp
ukea,awvz,/economy/grossdomesticproductgdp
ukea,bfjr,/economy/nationalaccounts/balanceofpayments
ukea,bfjs,/economy/nationalaccounts/balanceofpayments
ukea,bfjt,/economy/nationalaccounts/balanceofpayments
ukea,bfju,/economy/nationalaccounts/balanceofpayments
ukea,bfjv,/economy/nationalaccounts/balanceofpayments
ukea,bfjw,/economy/nationalaccounts/balanceofpayments
ukea,bfmy,/economy/nationalaccounts/balanceofpayments
ukea,bfmz,/economy/nationalaccounts/balanceofpayments
ukea,bfna,/economy/nationalaccounts/balanceofpayments
ukea,bfnb,/economy/nationalaccounts/balanceofpayments
ukea,bfnc,/economy/nationalaccounts/balanceofpayments
ukea,bfnd,/economy/nationalaccounts/balanceofpayments
ukea,bfom,/economy/nationalaccounts/balanceofpayments
ukea,bfon,/economy/nationalaccounts/balanceofpayments
ukea,bfoo,/economy/nationalaccounts/balanceofpayments
ukea,bfop,/economy/nationalaccounts/balanceofpayments
ukea,bfoq,/economy/nationalaccounts/balanceofpayments
ukea,bfor,/economy/nationalaccounts/balanceofpayments
ukea,bfsq,/economy/nationalaccounts/balanceofpayments
ukea,bfsr,/economy/nationalaccounts/balanceofpayments
ukea,bfss,/economy/nationalaccounts/balanceofpayments
ukea,bfst,/economy/nationalaccounts/balanceofpayments
ukea,bfsu,/economy/nationalaccounts/balanceofpayments
ukea,bfsv,/economy/nationalaccounts/balanceofpayments
ukea,bfvb,/economy/nationalaccounts/balanceofpayments
ukea,bfvc,/economy/nationalaccounts/balanceofpayments
ukea,bfvd,/economy/nationalaccounts/balanceofpayments
ukea,bfve,/economy/nationalaccounts/balanceofpayments
ukea,bfvf,/economy/nationalaccounts/balanceofpayments
ukea,bfvg,/economy/nationalaccounts/balanceofpayments
ukea,bktl,/economy/grossdomesticproductgdp
ukea,bkvt,/economy/grossdomesticproductgdp
ukea,bkwd,/economy/grossdomesticproductgdp
ukea,bkwe,/economy/grossdomesticproductgdp
ukea,bokg,/economy/nationalaccounts/balanceofpayments
ukea,bokh,/economy/nationalaccounts/balanceofpayments
ukea,boki,/economy/nationalaccounts/balanceofpayments
ukea,bokj,/economy/nationalaccounts/balanceofpayments
ukea,bokl,/economy/nationalaccounts/balanceofpayments
ukea,bopl,/economy/nationalaccounts/balanceofpayments
ukea,bopm,/economy/nationalaccounts/balanceofpayments
ukea,bopo,/economy/nationalaccounts/balanceofpayments
ukea,bopp,/economy/nationalaccounts/balanceofpayments
ukea,boqi,/economy/nationalaccounts/balanceofpayments
ukea,boql,/economy/nationalaccounts/balanceofpayments
ukea,bpbi,/economy/nationalaccounts/balanceofpayments
ukea,bqao,/economy/nationalaccounts/balanceofpayments
ukea,bqaq,/economy/nationalaccounts/balanceofpayments
ukea,bqar,/economy/nationalaccounts/balanceofpayments
ukea,bqas,/economy/nationalaccounts/balanceofpayments
ukea,bqau,/economy/nationalaccounts/balanceofpayments
ukea,bqav,/economy/nationalaccounts/balanceofpayments
ukea,bqaw,/economy/nationalaccounts/balanceofpayments
ukea,bqkn,/economy/grossdomesticproductgdp
ukea,bqko,/economy/grossdomesticproductgdp
ukea,bqkp,/economy/grossdomesticproductgdp
ukea,bqkq,/economy/grossdomesticproductgdp
ukea,bqkx,/economy/nationalaccounts/balanceofpayments
ukea,bqmq,/economy/nationalaccounts/balanceofpayments
ukea,bqmr,/economy/nationalaccounts/balanceofpayments
ukea,bqmv,/economy/nationalaccounts/balanceofpayments
ukea,bqmw,/economy/nationalaccounts/balanceofpayments
ukea,bqmx,/economy/nationalaccounts/balanceofpayments
ukea,bqmy,/economy/nationalaccounts/balanceofpayments
ukea,bqna,/economy/nationalaccounts/balanceofpayments
ukea,bqne,/economy/nationalaccounts/balanceofpayments
ukea,bqnf,/economy/nationalaccounts/balanceofpayments
ukea,bqng,/economy/nationalaccounts/balanceofpayments
ukea,bqnh,/economy/nationalaccounts/balanceofpayments
ukea,bqor,/economy/nationalaccounts/balanceofpayments
ukea,bqos,/economy/nationalaccounts/balanceofpayments
ukea,bqot,/economy/nationalaccounts/balanceofpayments
ukea,bqou,/economy/nationalaccounts/balanceofpayments
ukea,bqov,/economy/nationalaccounts/balanceofpayments
ukea,c3fk,/economy/grossdomesticproductgdp
ukea,c3o8,/economy/grossdomesticproductgdp
ukea,c3zt,/economy/grossdomesticproductgdp
ukea,c3zu,/economy/grossdomesticproductgdp
ukea,c46u,/economy/grossdomesticproductgdp
ukea,c46x,/economy/grossdomesticproductgdp
ukea,c5n7,/economy/grossdomesticproductgdp
ukea,c657,/economy/grossdomesticproductgdp
ukea,c657,/economy/grossdomesticproductgdp
ukea,c68w,/economy/nationalaccounts/satelliteaccounts
ukea,c696,/economy/nationalaccounts/satelliteaccounts
ukea,c6fp,/economy/grossdomesticproductgdp
ukea,c6fq,/economy/grossdomesticproductgdp
ukea,c6g9,/economy/grossdomesticproductgdp
ukea,c6ga,/economy/grossdomesticproductgdp
ukea,c7rl,/economy/grossdomesticproductgdp
ukea,cadv,/economy/grossdomesticproductgdp
ukea,caed,/economy/grossdomesticproductgdp
ukea,caen,/economy/grossdomesticproductgdp
ukea,caeo,/economy/grossdomesticproductgdp
ukea,caep,/economy/grossdomesticproductgdp
ukea,caeq,/economy/grossdomesticproductgdp
ukea,caer,/economy/grossdomesticproductgdp
ukea,caes,/economy/grossdomesticproductgdp
ukea,caex,/economy/grossdomesticproductgdp
ukea,cafu,/economy/grossdomesticproductgdp
ukea,cagd,/economy/grossdomesticproductgdp
ukea,cagq,/economy/grossdomesticproductgdp
ukea,cagr,/economy/grossdomesticproductgdp
ukea,cags,/economy/grossdomesticproductgdp
ukea,capf,/economy/grossdomesticproductgdp
